id,municipality,population,latitude,longitude,area_m2,P18LESS,P19MORE
261,WAASMUNSTER,10312,51.119969,4.074093,32223885.31,2322,7990
262,WETTEREN,23414,50.995795,3.86944,36983355.58,4825,18589
263,WICHELEN,11063,51.000091,3.952656,23210465.36,2393,8670
264,ZELE,20457,51.068673,4.035071,33243578.76,4898,15559
265,ASSENEDE,13637,51.228498,3.714067,87552014.17,2933,10704
266,EEKLO,19825,51.195642,3.561585,30398798.57,4070,15755
267,KAPRIJKE,6171,51.209386,3.626486,33648370.42,1346,4825
268,MALDEGEM,22397,51.199469,3.44963,95584656.26,4876,17521
269,SINT-LAUREINS,6592,51.261338,3.579427,74670361.17,1413,5179
270,ZELZATE,12242,51.200388,3.807764,13860535.44,2521,9721
271,AALTER,19028,51.079573,3.444452,82409664.86,4408,14620
272,DEINZE,28799,50.991717,3.515697,76067197.06,6347,22452
273,DE_PINTE,10251,50.987163,3.668361,17731127.43,2337,7914
274,DESTELBERGEN,17451,51.045534,3.808564,26656956.77,3829,13622
275,EVERGEM,32545,51.144635,3.707291,75198991.74,7278,25267
276,GAVERE,12226,50.930234,3.684784,31650116.66,2718,9508
277,GENT,237250,51.075722,3.724722,157900559.8,49787,187463
278,KNESSELARE,7999,51.134032,3.450718,37422708.16,1712,6287
279,LOCHRISTI,20734,51.104381,3.856264,60706677.97,5062,15672
280,LOVENDEGEM,9418,51.102408,3.624904,19543369.63,1982,7436
281,MELLE,10710,50.998258,3.7956,15337035.36,2375,8335
282,MERELBEKE,22705,50.975675,3.739976,36962792.49,5206,17499
283,MOERBEKE,5942,51.18355,3.944281,37908798.18,1323,4619
284,NAZARETH,11080,50.958353,3.609134,35434763.12,2556,8524
285,NEVELE,11431,51.059219,3.552984,52012806.83,2698,8733
286,OOSTERZELE,13241,50.940154,3.796383,43558825.73,3147,10094
287,SINT-MARTENS-LATEM,8251,51.010915,3.621425,14448182.12,1797,6454
288,WAARSCHOOT,7776,51.153459,3.608866,21933812.76,1657,6119
289,WACHTEBEKE,7026,51.18167,3.872474,34600877.07,1607,5419
290,ZOMERGEM,8033,51.127395,3.55544,39329889.4,1679,6354
291,ZULTE,14713,50.93866,3.471872,32767597.36,3397,11316
292,KRUISHOUTEM,8148,50.909255,3.528672,47274600.91,1918,6230
293,OUDENAARDE,29050,50.854818,3.620214,68883634.87,6149,22901
294,RONSE,24639,50.751047,3.606785,34692902.55,6209,18430
295,ZINGEM,6953,50.909689,3.62143,24309043.83,1591,5362
296,BRAKEL,13881,50.79926,3.757211,57044162.41,2844,11037
297,KLUISBERGEN,6382,50.781025,3.529165,30704259.27,1484,4898
298,WORTEGEM-PETEGEM,6135,50.849663,3.526845,42502537.33,1446,4689
299,HOREBEKE,2073,50.833429,3.693746,11229881.65,471,1602
300,LIERDE,6475,50.80687,3.835779,26378374.67,1430,5045
301,MAARKEDAL,6446,50.796517,3.640266,46144620.49,1468,4978
302,ZWALM,7919,50.878552,3.723154,33892165.94,1792,6127
303,BEVEREN,45887,51.252913,4.233987,153133305.5,10297,35590
304,KRUIBEKE,15489,51.159197,4.290992,33440972.31,3553,11936
305,LOKEREN,38489,51.114622,3.96059,68270312.93,9247,29242
306,SINT-GILLIS-WAAS,18387,51.23083,4.118089,55538222.62,4471,13916
307,SINT-NIKLAAS,70450,51.16605,4.107713,84214786.02,15572,54878
308,STEKENE,17096,51.213628,4.027913,45217985.36,3836,13260
309,TEMSE,27285,51.134426,4.204983,40164321.24,6603,20682
310,ATH,27586,50.640704,3.77212,127867379.9,6619,20967
311,BELOEIL,13538,50.533822,3.68797,62322482.27,3150,10388
312,BERNISSART,11612,50.480815,3.685774,43725916,2869,8743
313,BRUGELETTE,3446,50.603393,3.866437,28561689.8,850,2596
314,CHIEVRES,6408,50.572525,3.783108,47409967.82,1583,4825
315,ELLEZELLES,5784,50.721952,3.698243,45118455.3,1359,4425
316,FLOBECQ,3287,50.754876,3.730812,23282484.12,773,2514
317,FRASNES-LEZ-ANVAING,11064,50.683732,3.59991,112824216.7,2603,8461
318,CHAPELLE-LEZ-HERLAIMONT,14164,50.463832,4.286753,18195061.73,3454,10710
319,CHARLEROI,201593,50.422394,4.433838,102969977.9,48014,153579
320,CHATELET,35755,50.398469,4.52156,27247560.79,8578,27177
321,COURCELLES,30034,50.473837,4.340255,44580183.68,7565,22469
322,FARCIENNES,10998,50.435736,4.546074,10364756.09,2902,8096
323,FLEURUS,22267,50.4877,4.538495,59398969.15,5355,16912
324,FONTAINE-L'EVEQUE,16797,50.408676,4.321042,28670287.52,3966,12831
325,GERPINNES,12033,50.348822,4.527105,47787283.46,2644,9389
326,MANAGE,22460,50.494802,4.23747,19811913.32,5593,16867
327,MONTIGNY-LE-TILLEUL,10169,50.377649,4.370537,15226275.72,2116,8053
328,PONT-A-CELLES,16467,50.515201,4.380527,55969186.93,4180,12287
329,SENEFFE,10729,50.54926,4.26222,63510557.79,2831,7898
330,AISEAU-PRESLES,10744,50.406209,4.575922,22345810.78,2633,8111
331,LES_BONS_VILLERS,8994,50.529228,4.447455,43251952.93,2296,6698
332,BOUSSU,20192,50.428463,3.798742,20077047.98,5023,15169
333,DOUR,16899,50.38871,3.786284,33654293.46,4150,12749
334,FRAMERIES,20727,50.391308,3.885533,26120488.57,4913,15814
335,HENSIES,6726,50.437155,3.712898,26370663.22,1633,5093
336,JURBISE,9746,50.52657,3.900501,58045144.31,2502,7244
337,LENS,4119,50.571764,3.910633,49942579.26,1074,3045
338,MONS,91152,50.453807,3.971155,147775707.9,21002,70150
339,QUAREGNON,18789,50.439156,3.85786,11183665.87,4603,14186
340,QUIEVRAIN,6569,50.397216,3.701638,21458843.36,1507,5062
341,SAINT-GHISLAIN,22708,50.488591,3.800162,70490304.04,5174,17534
342,COLFONTAINE,20044,50.407295,3.843421,13776498.07,5273,14771
343,HONNELLES,5026,50.352854,3.723953,44349657.74,1181,3845
344,QUEVY,7734,50.367939,3.95365,65338829.41,1793,5941
345,MOUSCRON,53760,50.737732,3.250272,40683622.63,13294,40466
346,COMINES-WARNETON,17651,50.752924,2.929577,61389197.77,4271,13380
347,BRAINE-LE-COMTE,20698,50.617534,4.141661,84923933.76,5291,15407
348,ENGHIEN,12481,50.67898,4.029288,39310113.25,3059,9422
349,LA_LOUVIERE,77616,50.474833,4.155775,64253143.77,18602,59014
350,LESSINES,18146,50.713856,3.832303,72686358.17,4445,13701
351,LE_ROEULX,8019,50.508652,4.105466,43315408.09,1949,6070
352,SILLY,8013,50.650045,3.958226,68581365.59,2072,5941
353,SOIGNIES,25871,50.567479,4.037588,111322765.2,6339,19532
354,ECAUSSINNES,10373,50.563997,4.178683,34951186.18,2687,7686
355,ANDERLUES,11613,50.40497,4.264864,17204590.36,2658,8955
356,BEAUMONT,6815,50.230594,4.258475,93629951.73,1735,5080
357,BINCHE,32675,50.410031,4.176411,61331344.9,7437,25238
358,CHIMAY,9944,50.042238,4.323469,198696386.3,2572,7372
359,ERQUELINNES,9607,50.305269,4.137787,44638691.82,2407,7200
360,FROIDCHAPELLE,3599,50.166405,4.346763,86493467.45,826,2773
361,LOBBES,5585,50.357135,4.241171,32227036.13,1307,4278
362,MERBES-LE-CHATEAU,4119,50.322307,4.193821,30681539.03,1088,3031
363,MOMIGNIES,5156,50.003929,4.216687,86083598.71,1352,3804
364,THUIN,14675,50.32556,4.310142,76628867.21,3329,11346
365,ESTINNES,7502,50.380113,4.09979,73190784.69,1842,5660
366,HAM-SUR-HEURE-NALINNES,13372,50.32875,4.413122,45670008.54,2996,10376
367,MORLANWELZ,18813,50.448783,4.242794,20360218.8,4527,14286
368,SIVRY-RANCE,4703,50.161343,4.209801,73452331.53,1199,3504
369,ANTOING,7567,50.557526,3.464881,31335952.91,1810,5757
370,CELLES,5452,50.705071,3.448286,67472272.66,1345,4107
371,ESTAIMPUIS,9872,50.689011,3.28769,32081143.74,2411,7461
372,PECQ,5340,50.686473,3.356077,33177318.57,1355,3985
373,PERUWELZ,16941,50.530792,3.563145,61162410.5,4254,12687
374,RUMES,5066,50.545823,3.319043,23995681.78,1140,3926
375,TOURNAI,68193,50.617554,3.407179,215360397.9,15333,52860
376,BRUNEHAUT,7740,50.528479,3.394331,46540877.87,1934,5806
377,LEUZE-EN-HAINAUT,13331,50.598616,3.628012,74464275.86,3093,10238
378,MONT-DE-L'ENCLUS,3429,50.739435,3.503809,27140823.08,855,2574
379,AMAY,13280,50.554314,5.310782,27662916.1,3263,10017
380,BURDINNE,2895,50.583993,5.098676,32623552,751,2144
381,CLAVIER,4266,50.414323,5.335105,79626978.83,1104,3162
382,FERRIERES,4533,50.408576,5.619989,57082757.1,1109,3424
383,HAMOIR,3620,50.438736,5.554261,27710015.76,879,2741
384,HERON,4656,50.541856,5.104514,38336207.95,1248,3408
385,HUY,20295,50.510075,5.222618,47696055.39,4606,15689
386,MARCHIN,5160,50.468779,5.238774,30127687.42,1310,3850
387,MODAVE,3753,50.47485,5.300223,40230565.78,981,2772
388,NANDRIN,5688,50.518529,5.400056,36013196.84,1399,4289
389,OUFFET,2613,50.446111,5.465062,40313521.38,630,1983
390,VERLAINE,3690,50.610152,5.301357,24442073.74,998,2692
